,pin10,est_year_construction,pct_minority,pct_single_partent_families,pct_non_english_speakers,median_hh_income,pct_hh_below_poverty,pct_hh_with_children,resident_type,hyd_year_stamped,g_label,prob_g_lsl,unnamed:_0,property_class,neighborhood_code,town_code,type_of_residence,building_square_feet,prior_tax_year_market_value_estimate_(land),prior_tax_year_market_value_estimate_(building),longitude,latitude,census_tract,property_address,age,neighborhood_code.1
115,3102106021,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.003204712,Assumed Non-Lead,7131,278,250,32,2.0,2537.0,102850.0,115690.0,-87.7086123972476,41.5501971235117,829902.0,3715  RIVER RD,22,250
116,2836318001,1995,100.0,50.71428571,0,83795,19.1137213,38.80952381,split-level,1971,0.034947547,Assumed Non-Lead,5136,234,270,13,4.0,1288.0,30200.0,104670.0,-87.6927171151377,41.5637536258096,825503.0,17901  MILLSTONE RD,27,270
117,3102108005,1998,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1981,0.00448614,Assumed Non-Lead,7157,278,250,32,2.0,2627.0,67000.0,142650.0,-87.7082794566497,41.5527646141647,829902.0,3715 S VILLAGE DR,24,250
118,3102106018,2001,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.003397398,Assumed Non-Lead,7128,278,250,32,2.0,3568.0,61080.0,157870.0,-87.7096568350613,41.5499731369793,829902.0,3805  RIVER RD,21,250
119,3102110066,2006,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,2001,0.000543629,Assumed Non-Lead,7240,208,250,32,2.0,4564.0,91880.0,268820.0,-87.710316930484,41.5567865966684,829902.0,6  CARRINGTON CT,16,250
120,2836111015,1998,100.0,50.71428571,0,83795,19.1137213,38.80952381,split-level,1972,0.029364257,Assumed Non-Lead,4388,234,270,13,4.0,1402.0,27770.0,115110.0,-87.6935814616619,41.5673502829764,825503.0,3114  OAKWOOD DR,24,270
121,3102104060,2003,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1998,0.003638149,Assumed Non-Lead,7082,278,250,32,2.0,2393.0,71010.0,126560.0,-87.7109699921323,41.5539469594655,829902.0,3817  CARRINGTON DR,19,250
122,3102103003,1998,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,one-story,1993,0.008027347,Assumed Non-Lead,7000,204,250,32,1.0,2405.0,64800.0,125770.0,-87.7113405531703,41.5514920746276,829902.0,3907  EDGEWATER DR,24,250
123,3102103018,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.004444081,Assumed Non-Lead,7015,278,250,32,2.0,2574.0,65080.0,128740.0,-87.7098617184093,41.5519563245547,829902.0,3804  STREAMWOOD DR,22,250
124,2836319004,1995,100.0,50.71428571,0,83795,19.1137213,38.80952381,split-level,1971,0.028849288,Assumed Non-Lead,5154,234,270,13,4.0,1758.0,35710.0,113750.0,-87.6922115966578,41.56278603404,825503.0,3110  SHAGBARK LN,27,270
125,3102109001,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1981,0.005140173,Assumed Non-Lead,7186,278,250,32,2.0,3194.0,56250.0,138940.0,-87.708617064615,41.5530699349078,829902.0,3801 S VILLAGE DR,22,250
126,3102108026,2002,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1997,0.003744217,Assumed Non-Lead,7178,278,250,32,2.0,2393.0,62300.0,136880.0,-87.7059182427456,41.5527242471833,829902.0,3606  RIVER RD,20,250
127,3102104018,2001,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1993,0.003600669,Assumed Non-Lead,7043,278,250,32,2.0,2537.0,55870.0,163830.0,-87.709866142701,41.5537215926626,829902.0,3806  EDGEWATER DR,21,250
128,3102105028,2001,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1981,0.004276194,Assumed Non-Lead,7110,278,250,32,2.0,2574.0,82190.0,120630.0,-87.7097761616613,41.5509613871858,829902.0,3811  STREAMWOOD DR,21,250
129,3102109011,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.002557445,Assumed Non-Lead,7196,278,250,32,2.0,3567.0,82450.0,160790.0,-87.7070868057749,41.5545385501441,829902.0,3703  EDGEWATER DR,22,250
130,3102105025,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.005222874,Assumed Non-Lead,7107,278,250,32,2.0,2537.0,56620.0,121780.0,-87.7091150783986,41.5517216522306,829902.0,3803  STREAMWOOD DR,22,250
131,3102104010,2001,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1993,0.002669819,Assumed Non-Lead,7035,278,250,32,2.0,3279.0,80260.0,155560.0,-87.7118765187125,41.5524837301172,829902.0,18511  MICHAEL CT,21,250
132,2836111026,1998,100.0,50.71428571,0,83795,19.1137213,38.80952381,two-story,1993,0.017238482,Assumed Non-Lead,4399,278,270,13,2.0,2064.0,28410.0,117330.0,-87.6920585824663,41.5676305164916,825503.0,3013  SURREY LN,24,270
133,2836115003,1998,100.0,50.71428571,0,83795,19.1137213,38.80952381,two-story,1992,0.014911993,Assumed Non-Lead,4440,278,270,13,2.0,2478.0,31920.0,127370.0,-87.6938877782097,41.5692458552458,825503.0,17604  ARLINGTON LN,24,270
134,3102103028,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1981,0.005456976,Assumed Non-Lead,7023,278,250,32,2.0,2574.0,57680.0,133840.0,-87.7118476107414,41.5511540779497,829902.0,3904  STREAMWOOD DR,22,250
135,2825316018,2012,98.17184644,49.22600619,0,49239,17.18464351,42.10526316,split-level,1984,0.07533262,Assumed Non-Lead,582,234,260,13,4.0,1072.0,15250.0,111600.0,-87.6939973044334,41.5727839575023,825503.0,17415  KEDZIE AVE,10,260
136,2836116015,2003,100.0,50.71428571,0,83795,19.1137213,38.80952381,split-level,1995,0.016166211,Assumed Non-Lead,4467,234,270,13,4.0,1452.0,28140.0,136280.0,-87.6931513359225,41.5685810326918,825503.0,17611 S ARLINGTON LN,19,270
137,2836117006,1998,100.0,50.71428571,0,83795,19.1137213,38.80952381,two-story,1993,0.012457835,Assumed Non-Lead,4475,278,270,13,2.0,2680.0,28140.0,153230.0,-87.6919651789025,41.5687389421013,825503.0,17609  BALMORAL LN,24,270
138,2825330022,1995,98.17184644,49.22600619,0,49239,17.18464351,42.10526316,one-story,1928,0.286105125,Assumed Non-Lead,871,203,260,13,1.0,1115.0,19250.0,73380.0,-87.6849468424847,41.5720318788749,825503.0,2800  175TH ST,27,260
139,2836115009,2001,100.0,50.71428571,0,83795,19.1137213,38.80952381,split-level,1996,0.021208609,Assumed Non-Lead,4446,234,270,13,4.0,1638.0,32130.0,107290.0,-87.6939696478222,41.5677675094681,825503.0,17702 S ARLINGTON LN,21,270
140,3102104001,1998,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1993,0.00522459,Assumed Non-Lead,7026,278,250,32,2.0,2393.0,72220.0,114860.0,-87.7105102191235,41.5533087867047,829902.0,3812  EDGEWATER DR,24,250
141,2836117008,2000,100.0,50.71428571,0,83795,19.1137213,38.80952381,two-story,1993,0.015026289,Assumed Non-Lead,4477,278,270,13,2.0,2576.0,28140.0,128020.0,-87.6919657985429,41.5684196162893,825503.0,17613  BALMORAL LN,22,270
